ID,mse,w_cost,b,scale,test_acc
3MQ2BEJ6,0.38090813391841377,0.3963577436730956,0.055699221869605936,3.042628813171874,0.5962669951868581
B3FARQZU,0.06998902703505198,0.5582433287013157,-1.0,0.5235004267926009,0.06415429579900347
J330EMLE,0.1196331890895343,0.3723823211555914,-0.4065785578589894,0.9123686978663197,0.2560201260291943
8YTSZB2C,0.24301053304113118,0.4986838107013303,-0.18711036961911812,2.0174415357639237,0.45647376858300476
FVWFE3K6,0.13471864726385768,0.4118007717859893,-0.2804957881054029,1.7455495984025258,0.5254369831288878
XRQTASLE,0.560278468185333,0.37527805144328585,-0.22260689642477405,1.6163945174974415,0.18917037778315565
K12NR4N9,0.3865067683487762,0.5673097292874164,-0.025350250251262127,2.8311930945489268,0.4255169558816412
H5Q4ERRC,0.06577069323247281,0.5506734757489146,-0.44060568953676765,1.7969627202489882,0.6427265644430928
IFQ5DUQ4,0.17804244132112226,0.45683471512116547,0.03256578295192068,2.7244869727794336,0.6626621445304841
TLZU75MF,0.24799032893351455,0.7770010434427951,-0.4215673416306653,1.8033240513925188,0.3134056264924093
CMB283XT,0.23091688976086377,0.3763281041395258,-0.48628184745288106,0.49779235891045076,-0.08450213057688427
65EF8817,0.13641321987664268,0.41864167321759943,-0.2082739389006005,1.5627846989488932,0.45041910634645727
JOB9AH7F,0.14581857108066748,0.2507494433095152,-0.38806166905648176,0.9896328330475855,0.29085407001097924
DDAA1UO5,0.09977251600373,0.5177570835713776,-0.3429974718456383,1.1428370282951168,0.3828545875204864
1RYZ8NMP,0.04885806962841929,0.02890451516300864,-1.0,0.19639521585111624,-0.07105188573170386
VRQA95W1,0.07762191754158054,0.5714358403681696,-0.05409631906144874,1.8164235427237998,0.6662646741952696
ZAK14ZU8,0.23058449383120166,0.5356516580735586,0.06587511526652295,2.3514697372463584,0.4470515890766573
6XCEPJGH,0.03424307898035643,0.3218730478164822,-1.0,0.5726235913929745,0.16542910026220664
4ZFPW2MZ,0.28609707302829357,0.6163679127349306,-0.34490953357079357,1.8079199755118363,0.31419245793703043
