ID,neg_llh,r2,AIC,BIC,b,beta,test_acc
6MGZ913N,16.253148679572305,0.5310332600230006,36.50629735914461,40.330343370000904,-1.0,2.1973133611901785,0.9
S2IKMVQK,11.347376135030094,0.6725839344578062,26.69475227006019,30.51879828091648,-1.0,2.751691416508885,0.94
B7HURJW2,26.344398081568947,0.23986135065031522,56.688796163137894,60.51284217399419,-1.0,1.2656991275441687,0.78
FS5JUY7H,23.568674350504587,0.31995180788400246,51.137348701009174,54.961394711865466,-1.0,1.5163908098339143,0.82
0BUK3E0S,26.344398081568883,0.239861350650317,56.688796163137766,60.51284217399406,-1.0,1.2656990180162926,0.78
14ZLZMV8,28.651845866571126,0.17328248111965783,61.30369173314225,65.12773774399854,-1.0,1.0459932843810729,0.74
AEAFGGIP,32.05077390406121,0.07521014863914988,68.10154780812242,71.92559381897871,-1.0,0.6633076807866021,0.66
RQJRN75N,26.34439808156891,0.23986135065031622,56.68879616313782,60.512842173994116,-1.0,1.2656989348270336,0.78
5IEHSDSC,32.05077390406145,0.07521014863914288,68.1015478081229,71.9255938189792,-1.0,0.6633076549500652,0.66
OVU0ULGA,32.05077390405765,0.07521014863925257,68.1015478081153,71.92559381897159,0.6750846027289743,0.9825560993769346,0.66
AE7CJHC5,26.344398081568894,0.23986135065031677,56.68879616313779,60.51284217399408,-1.0,1.2656989647730554,0.78
YKQ5273D,33.70768526122116,0.007552849669188344,71.41537052244232,75.19901111866356,-0.9772822649545754,0.20955951389698796,0.5510204081632653
ABPH33RI,30.542215112744543,0.11873795438158996,65.08443022548909,68.90847623634538,-1.0,0.8473169444794324,0.7
TMKF6UR9,32.05077390405766,0.07521014863925235,68.10154780811531,71.9255938189716,0.6750846025230812,0.9825560597786294,0.66
3MQ2BEJ6,32.669909749685125,0.05734566435678545,69.33981949937025,73.16386551022654,-1.0,0.5753761260721386,0.64
B3FARQZU,8.396207396719216,0.7577366645295591,20.792414793438432,24.616460804294725,-1.0,3.178290100667529,0.96
J330EMLE,13.937468598434936,0.5978496634098454,31.874937196869872,35.698983207726165,-1.0,2.442459411518216,0.92
8YTSZB2C,23.568674350504647,0.3199518078840007,51.137348701009294,54.96139471186559,-1.0,1.5163907115812978,0.82
FVWFE3K6,18.345249573635353,0.4706679883249181,40.69049914727071,44.514545158127,-1.0,1.9925021219896715,0.88
XRQTASLE,25.019121186909267,0.2781007587249201,54.038242373818534,57.86228838467483,-1.0,1.3863318271276546,0.8
K12NR4N9,30.64406145594385,0.017554766773626218,65.2881229118877,68.90144789142833,-0.9892768912181531,0.3170641422923055,0.5777777777777777
H5Q4ERRC,4.900955673996253,0.8585883110701795,13.801911347992506,17.625957358848797,-1.0,3.892305738181643,0.98
IFQ5DUQ4,33.64958336046274,0.02907825915761242,71.29916672092548,75.12321273178178,-1.0,0.4054733495327067,0.6
TLZU75MF,30.95204553299024,0.08868647763644055,65.90409106598048,69.68773166220173,-1.0,0.7239346648834111,0.673469387755102
CMB283XT,26.344398081568908,0.23986135065031633,56.688796163137816,60.51284217399411,-1.0,1.2656989348270336,0.78
65EF8817,18.34524957363535,0.4706679883249182,40.6904991472707,44.51454515812699,-1.0,1.9925021277614698,0.88
